cell_name,annotation
157_102-0,AGM
157_103-0,AGM
157_104-0,AGM
157_105-0,AGM
157_106-0,AGM
157_107-0,AGM
157_108-0,AGM
157_109-0,AGM
157_115-0,AGM
157_116-0,Liver
157_117-0,Liver
157_118-0,AGM
157_119-0,AGM
157_120-0,AGM
157_121-0,AGM
157_122-0,AGM
157_123-0,AGM
157_124-0,AGM
157_125-0,AGM
157_126-0,AGM
157_127-0,Dermomyotome
157_128-0,Dermomyotome
157_129-0,Dermomyotome
157_130-0,Dermomyotome
157_131-0,Dermomyotome
157_132-0,Dermomyotome
157_133-0,Dermomyotome
157_134-0,Dermomyotome
157_135-0,Dermomyotome
157_136-0,Dermomyotome
157_137-0,Dermomyotome
157_138-0,Dermomyotome
157_139-0,Dermomyotome
157_140-0,Mesenchyme
157_141-0,Mesenchyme
157_142-0,Mesenchyme
157_143-0,Mesenchyme
157_144-0,Mesenchyme
157_145-0,Mesenchyme
157_146-0,Mesenchyme
157_147-0,Mesenchyme
157_85-0,Connective tissue
157_86-0,Connective tissue
157_87-0,Connective tissue
157_88-0,Connective tissue
157_89-0,Connective tissue
157_90-0,Connective tissue
157_91-0,Dermomyotome
157_92-0,Dermomyotome
157_93-0,Dermomyotome
157_94-0,Dermomyotome
157_95-0,Dermomyotome
157_96-0,Dermomyotome
157_97-0,AGM
157_98-0,AGM
157_99-0,AGM
158_100-0,AGM
158_101-0,AGM
158_102-0,AGM
158_103-0,AGM
158_104-0,AGM
158_105-0,AGM
158_106-0,AGM
158_107-0,AGM
158_108-0,AGM
158_109-0,AGM
158_114-0,AGM
158_115-0,AGM
158_116-0,AGM
158_117-0,AGM
158_118-0,AGM
158_119-0,AGM
158_120-0,AGM
158_121-0,AGM
158_122-0,AGM
158_123-0,AGM
158_124-0,AGM
158_125-0,AGM
158_126-0,Sclerotome
158_127-0,Sclerotome
158_128-0,Dermomyotome
158_129-0,AGM
158_130-0,Dermomyotome
158_131-0,AGM
158_132-0,Dermomyotome
158_133-0,Sclerotome
158_134-0,Sclerotome
158_135-0,Sclerotome
158_136-0,Dermomyotome
158_137-0,Dermomyotome
158_138-0,Dermomyotome
158_139-0,Dermomyotome
158_140-0,Dermomyotome
158_141-0,Mesenchyme
158_142-0,Mesenchyme
158_143-0,Mesenchyme
158_144-0,Mesenchyme
158_145-0,Mesenchyme
158_146-0,Mesenchyme
158_147-0,Mesenchyme
158_148-0,Mesenchyme
158_84-0,Connective tissue
158_85-0,Connective tissue
158_86-0,Connective tissue
158_87-0,Dermomyotome
158_88-0,Dermomyotome
158_89-0,Connective tissue
158_90-0,Connective tissue
158_91-0,Dermomyotome
158_92-0,Dermomyotome
158_93-0,Dermomyotome
158_94-0,AGM
158_95-0,AGM
158_96-0,AGM
158_97-0,AGM
158_98-0,AGM
158_99-0,AGM
159_100-0,AGM
159_101-0,AGM
159_102-0,AGM
159_103-0,AGM
159_104-0,AGM
159_105-0,AGM
159_106-0,AGM
159_107-0,AGM
159_108-0,AGM
159_109-0,AGM
159_110-0,AGM
159_111-0,AGM
159_114-0,AGM
159_115-0,AGM
159_116-0,AGM
159_117-0,AGM
159_118-0,AGM
159_119-0,AGM
159_120-0,AGM
159_121-0,AGM
159_122-0,AGM
159_124-0,AGM
159_125-0,AGM
159_126-0,AGM
159_127-0,AGM
159_128-0,AGM
159_129-0,AGM
159_130-0,AGM
159_131-0,Sclerotome
159_132-0,Sclerotome
159_133-0,Sclerotome
159_134-0,Sclerotome
159_135-0,Sclerotome
159_136-0,Sclerotome
159_137-0,Dermomyotome
159_138-0,Dermomyotome
159_139-0,Dermomyotome
159_140-0,Dermomyotome
159_141-0,Dermomyotome
159_142-0,Mesenchyme
159_143-0,Mesenchyme
159_144-0,Mesenchyme
159_145-0,Mesenchyme
159_146-0,Mesenchyme
159_147-0,Mesenchyme
159_148-0,Mesenchyme
159_83-0,Connective tissue
159_84-0,Connective tissue
159_85-0,Connective tissue
159_86-0,Connective tissue
159_87-0,Dermomyotome
159_88-0,Dermomyotome
159_89-0,Connective tissue
159_90-0,Connective tissue
159_91-0,Connective tissue
159_92-0,Dermomyotome
159_93-0,AGM
159_94-0,AGM
159_95-0,AGM
159_96-0,AGM
159_97-0,AGM
159_98-0,AGM
