cell_name,annotation
193_118-0,Heart
193_119-0,Heart
193_120-0,Heart
193_121-0,Heart
193_122-0,Heart
193_132-0,Neural crest
193_133-0,Neural crest
193_134-0,Neural crest
193_135-0,Neural crest
193_136-0,Neural crest
193_137-0,Neural crest
193_138-0,Neural crest
193_139-0,Neural crest
193_140-0,Neural crest
193_141-0,Neural crest
193_142-0,Neural crest
193_143-0,Neural crest
193_144-0,Neural crest
193_145-0,Neural crest
193_146-0,Neural crest
193_147-0,Neural crest
193_148-0,Neural crest
193_152-0,Neural crest
194_111-0,Heart
194_112-0,Heart
194_113-0,Heart
194_114-0,Heart
194_115-0,Heart
194_121-0,Heart
194_122-0,Heart
194_132-0,Neural crest
194_133-0,Neural crest
194_134-0,Neural crest
194_135-0,Neural crest
194_136-0,Neural crest
194_137-0,Neural crest
194_138-0,Neural crest
194_139-0,Neural crest
194_140-0,Neural crest
194_141-0,Neural crest
194_142-0,Neural crest
194_143-0,Neural crest
194_144-0,Neural crest
194_145-0,Neural crest
194_146-0,Neural crest
194_147-0,Neural crest
194_148-0,Neural crest
194_152-0,Neural crest
195_111-0,Neural crest
195_112-0,Neural crest
195_113-0,Neural crest
195_114-0,Neural crest
195_131-0,Neural crest
195_132-0,Neural crest
195_133-0,Neural crest
195_134-0,Neural crest
195_135-0,Neural crest
195_136-0,Neural crest
195_137-0,Neural crest
195_138-0,Neural crest
195_139-0,Neural crest
195_140-0,Neural crest
195_141-0,Neural crest
195_142-0,Neural crest
195_143-0,Neural crest
195_144-0,Neural crest
195_145-0,Neural crest
195_146-0,Neural crest
195_147-0,Brain
195_148-0,Brain
195_149-0,Neural crest
195_150-0,Neural crest
195_151-0,Neural crest
195_152-0,Brain
196_111-0,Neural crest
196_112-0,Neural crest
196_113-0,Neural crest
196_123-0,Neural crest
196_130-0,Neural crest
196_131-0,Neural crest
196_132-0,Neural crest
196_133-0,Neural crest
196_134-0,Neural crest
196_135-0,Neural crest
196_136-0,Neural crest
196_137-0,Neural crest
196_138-0,Neural crest
196_139-0,Neural crest
196_140-0,Neural crest
196_141-0,Neural crest
196_142-0,Neural crest
196_143-0,Neural crest
196_144-0,Neural crest
196_145-0,Neural crest
196_146-0,Brain
196_147-0,Brain
196_148-0,Brain
196_149-0,Brain
196_150-0,Neural crest
196_151-0,Neural crest
196_152-0,Brain
196_153-0,Brain
196_155-0,Brain
196_156-0,Brain
197_110-0,Neural crest
197_111-0,Neural crest
197_112-0,Neural crest
197_129-0,Neural crest
197_130-0,Neural crest
197_131-0,Neural crest
197_132-0,Neural crest
197_133-0,Neural crest
197_134-0,Neural crest
197_135-0,Neural crest
197_136-0,Neural crest
197_137-0,Neural crest
197_138-0,Neural crest
197_139-0,Neural crest
197_140-0,Neural crest
197_141-0,Neural crest
197_142-0,Neural crest
197_143-0,Neural crest
197_144-0,Neural crest
197_145-0,Brain
197_146-0,Brain
197_147-0,Brain
197_148-0,Brain
197_149-0,Brain
197_150-0,Brain
197_151-0,Brain
197_152-0,Brain
197_153-0,Brain
197_154-0,Brain
197_155-0,Brain
197_156-0,Brain
198_109-0,Neural crest
198_110-0,Neural crest
198_111-0,Neural crest
198_129-0,Neural crest
198_130-0,Neural crest
198_131-0,Neural crest
198_132-0,Neural crest
198_133-0,Neural crest
198_134-0,Neural crest
198_135-0,Neural crest
198_136-0,Neural crest
198_137-0,Neural crest
198_138-0,Neural crest
198_139-0,Neural crest
198_140-0,Neural crest
198_141-0,Neural crest
198_142-0,Neural crest
198_143-0,Neural crest
198_144-0,Brain
198_145-0,Brain
198_146-0,Brain
198_147-0,Brain
198_148-0,Brain
198_149-0,Brain
198_150-0,Brain
198_151-0,Brain
198_152-0,Brain
198_153-0,Brain
198_154-0,Brain
198_155-0,Brain
198_156-0,Brain
198_89-0,Neural crest
198_90-0,Neural crest
198_91-0,Neural crest
198_93-0,Neural crest
198_94-0,Neural crest
198_95-0,Neural crest
199_109-0,Neural crest
199_110-0,Neural crest
199_111-0,Neural crest
199_122-0,Neural crest
199_123-0,Neural crest
199_128-0,Neural crest
199_129-0,Neural crest
199_130-0,Neural crest
199_131-0,Neural crest
199_133-0,Neural crest
199_134-0,Neural crest
199_135-0,Brain
199_136-0,Brain
199_137-0,Brain
199_138-0,Neural crest
199_139-0,Neural crest
